cd_cid ;cid - descricao;cd_subgrupo;subgrupo_descricao;cid_grupo;cid_capitulo
A06.5; Abscesso Amebiano do Pulmão;A06; Amebíase;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A06.6; Abscesso Amebiano do Cérebro;A06; Amebíase;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A06.7; Amebíase Cutânea;A06; Amebíase;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A06.8; Infecção Amebiana de Outras Localizações;A06; Amebíase;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A06.9; Amebíase Não Especificada;A06; Amebíase;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A07.0; Balantidíase;A07; Outras Doenças Intestinais Por Protozoários;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A07.1; Giardíase (lamblíase);A07; Outras Doenças Intestinais Por Protozoários;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A07.2; Criptosporidiose;A07; Outras Doenças Intestinais Por Protozoários;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A07.3; Isosporíase;A07; Outras Doenças Intestinais Por Protozoários;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A07.8; Outras Doenças Intestinais Especificadas Por Protozoários;A07; Outras Doenças Intestinais Por Protozoários;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A07.9; Doença Intestinal Não Especificada Por Protozoários;A07; Outras Doenças Intestinais Por Protozoários;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A08.0; Enterite Por Rotavírus;A08; Infecções Intestinais Virais, Outras e as Não Especificadas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A08.1; Gastroenteropatia Aguda Pelo Agente de Norwalk;A08; Infecções Intestinais Virais, Outras e as Não Especificadas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A08.2; Enterite Por Adenovírus;A08; Infecções Intestinais Virais, Outras e as Não Especificadas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A08.3; Outras Enterites Virais;A08; Infecções Intestinais Virais, Outras e as Não Especificadas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A08.4; Infecção Intestinal Devida a Vírus Não Especificado;A08; Infecções Intestinais Virais, Outras e as Não Especificadas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A08.5; Outras Infecções Intestinais Especificadas;A08; Infecções Intestinais Virais, Outras e as Não Especificadas;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A09; Diarréia e Gastroenterite de Origem Infecciosa Presumível;A09; Diarréia e Gastroenterite de Origem Infecciosa Presumível;Doenças infecciosas intestinais;I. Algumas doenças infecciosas e parasitárias
A15.0; Tuberculose Pulmonar, Com Confirmação Por Exame Microscópico da Expectoração, Com ou Sem Cultura;A15; Tuberculose Respiratória, Com Confirmação Bacteriológica e Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A15.1; Tuberculose Pulmonar, Com Confirmação Somente Por Cultura;A15; Tuberculose Respiratória, Com Confirmação Bacteriológica e Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A15.2; Tuberculose Pulmonar, Com Confirmação Histológica;A15; Tuberculose Respiratória, Com Confirmação Bacteriológica e Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A15.3; Tuberculose Pulmonar, Com Confirmação Por Meio Não Especificado;A15; Tuberculose Respiratória, Com Confirmação Bacteriológica e Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A15.4; Tuberculose Dos Gânglios Intratorácicos, Com Confirmação Bacteriológica e Histológica;A15; Tuberculose Respiratória, Com Confirmação Bacteriológica e Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A15.5; Tuberculose da Laringe, da Traquéia e Dos Brônquios, Com Confirmação Bacteriológica e Histológica;A15; Tuberculose Respiratória, Com Confirmação Bacteriológica e Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A15.6; Pleuris Tuberculoso, Com Confirmação Bacteriológica e Histológica;A15; Tuberculose Respiratória, Com Confirmação Bacteriológica e Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A15.7; Tuberculose Primária Das Vias Respiratórias, Com Confirmação Bacteriológica e Histológica;A15; Tuberculose Respiratória, Com Confirmação Bacteriológica e Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A15.8; Outras Formas de Tuberculose Das Vias Respiratórias, Com Confirmação Bacteriológica e Histológica;A15; Tuberculose Respiratória, Com Confirmação Bacteriológica e Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A15.9; Tuberculose Não Especificada Das Vias Respiratórias, Com Confirmação Bacteriológica e Histológica;A15; Tuberculose Respiratória, Com Confirmação Bacteriológica e Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A16.0; Tuberculose Pulmonar Com Exames Bacteriológico e Histológico Negativos;A16; Tuberculose Das Vias Respiratórias, Sem Confirmação Bacteriológica ou Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A16.1; Tuberculose Pulmonar, Sem Realização de Exame Bacteriológico ou Histológico;A16; Tuberculose Das Vias Respiratórias, Sem Confirmação Bacteriológica ou Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A16.2; Tuberculose Pulmonar, Sem Menção de Confirmação Bacteriológica ou Histológica;A16; Tuberculose Das Vias Respiratórias, Sem Confirmação Bacteriológica ou Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A16.3; Tuberculose Dos Gânglios Intratorácicos, Sem Menção de Confirmação Bacteriológica ou Histológica;A16; Tuberculose Das Vias Respiratórias, Sem Confirmação Bacteriológica ou Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A16.4; Tuberculose da Laringe, da Traquéia e Dos Brônquios, Sem Menção de Confirmação Bacteriológica ou Histológica;A16; Tuberculose Das Vias Respiratórias, Sem Confirmação Bacteriológica ou Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A16.5; Pleurisia Tuberculosa, Sem Menção de Confirmação Bacteriológica ou Histológica;A16; Tuberculose Das Vias Respiratórias, Sem Confirmação Bacteriológica ou Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A16.7; Tuberculosa Respiratória Primária Sem Menção de Confirmação Bacteriológica ou Histológica;A16; Tuberculose Das Vias Respiratórias, Sem Confirmação Bacteriológica ou Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A16.8; Outras Formas de Tuberculose Das Vias Respiratórias, Sem Menção de Confirmação Bacteriológica ou Histológica;A16; Tuberculose Das Vias Respiratórias, Sem Confirmação Bacteriológica ou Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A16.9; Tuberculose Respiratória, Não Especificada, Sem Menção de Confirmação Bacteriológica ou Histológica;A16; Tuberculose Das Vias Respiratórias, Sem Confirmação Bacteriológica ou Histológica;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A17.0; Meningite Tuberculosa;A17; Tuberculose do Sistema Nervoso;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A17.1; Tuberculoma Meníngeo;A17; Tuberculose do Sistema Nervoso;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A17.8; Outras Tuberculoses do Sistema Nervoso;A17; Tuberculose do Sistema Nervoso;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A17.9; Tuberculose Não Especificada do Sistema Nervoso;A17; Tuberculose do Sistema Nervoso;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A18.0; Tuberculose Óssea e Das Articulações;A18; Tuberculose de Outros Órgãos;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A18.1; Tuberculose do Aparelho Geniturinário;A18; Tuberculose de Outros Órgãos;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A18.2; Linfadenopatia Tuberculosa Periférica;A18; Tuberculose de Outros Órgãos;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A18.3; Tuberculose do Intestino, do Peritônio e Dos Gânglios Mesentéricos;A18; Tuberculose de Outros Órgãos;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A18.4; Tuberculose de Pele e do Tecido Celular Subcutâneo;A18; Tuberculose de Outros Órgãos;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A18.5; Tuberculose do Olho;A18; Tuberculose de Outros Órgãos;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A18.6; Tuberculose do Ouvido;A18; Tuberculose de Outros Órgãos;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A18.7; Tuberculose Das Supra;A18; Tuberculose de Outros Órgãos renais;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A18.8; Tuberculose de Outros Órgãos Especificados;A18; Tuberculose de Outros Órgãos;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A19.0; Tuberculose Miliar Aguda de Localização Única e Especificada;A19; Tuberculose Miliar ;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A19.1; Tuberculose Miliar Aguda de Múltiplas Localizações;A19; Tuberculose Miliar ;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A19.2; Tuberculose Miliar Aguda Não Especificada;A19; Tuberculose Miliar ;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A19.8; Outras Tuberculoses Miliares;A19; Tuberculose Miliar ;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A19.9; Tuberculose Miliar Não Especificada;A19; Tuberculose Miliar ;Tuberculose;I. Algumas doenças infecciosas e parasitárias
A20.0; Peste Bubônica;A20; Peste ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A20.1; Peste Celulocutânea;A20; Peste ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A20.2; Peste Pneumônica;A20; Peste ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A20.3; Peste Meníngea;A20; Peste ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A20.7; Peste Septicêmica;A20; Peste ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A20.8; Outras Formas de Peste;A20; Peste ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A20.9; Peste, Forma Não Especificada;A20; Peste ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A21.0; Tularemia Ulceroglandular;A21; Tularemia ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A21.1; Tularemia Oculoglandular;A21; Tularemia ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A21.2; Tularemia Pulmonar;A21; Tularemia ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A21.3; Tularemia Gastrointestinal;A21; Tularemia ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A21.7; Tularemia Generalizada;A21; Tularemia ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A21.8; Outras Formas de Tularemia;A21; Tularemia ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A21.9; Tularemia, Forma Não Especificada;A21; Tularemia ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A22.0; Carbúnculo Cutâneo;A22; Carbúnculo ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A22.1; Carbúnculo Pulmonar;A22; Carbúnculo ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A22.2; Carbúnculo Gastrointestinal;A22; Carbúnculo ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A22.7; Septicemia Carbunculosa;A22; Carbúnculo ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A22.8; Outras Formas de Carbúnculo;A22; Carbúnculo ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A22.9; Carbúnculo, Forma Não Especificada;A22; Carbúnculo ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A23.0; Brucelose Por Brucella Melitensis;A23; Brucelose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A23.1; Brucelose Por Brucella Abortus;A23; Brucelose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A23.2; Brucelose Por Brucella Suis;A23; Brucelose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A23.3; Brucelose Por Brucella Canis;A23; Brucelose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A23.8; Outras Bruceloses;A23; Brucelose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A23.9; Brucelose Não Especificada;A23; Brucelose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A24.0; Mormo;A24; Mormo e Melioidose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A24.1; Melioidose Aguda e Fulminante;A24; Mormo e Melioidose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A24.2; Melioidose Subaguda e Crônica;A24; Mormo e Melioidose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A24.3; Outras Melioidoses;A24; Mormo e Melioidose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A24.4; Melioidose Não Especificada;A24; Mormo e Melioidose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A25.0; Espirilose;A25; Febres Transmitidas Por Mordedura de Rato ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A25.1; Estreptobacilose;A25; Febres Transmitidas Por Mordedura de Rato ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A25.9; Febre Transmitida Por Mordedura de Rato, Tipo Não Especificado;A25; Febres Transmitidas Por Mordedura de Rato ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A26.0; Erisipelóide Cutâneo;A26; Erisipelóide ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A26.7; Septicemia Por Erysipelothrix;A26; Erisipelóide ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A26.8; Outras Formas de Erisipelóide;A26; Erisipelóide ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A26.9; Erisipelóide Não Especificado;A26; Erisipelóide ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A27.0; Leptopirose Icterohemorrágica;A27; Leptospirose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A27.8; Outras Formas de Leptospirose;A27; Leptospirose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A27.9; Leptospirose Não Especificada;A27; Leptospirose ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A28.0; Pasteurelose;A28; Outras Doenças Bacterianas Zoonóticas Não Classificadas em Outra Parte ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A28.1; Doença Por Arranhadura do Gato;A28; Outras Doenças Bacterianas Zoonóticas Não Classificadas em Outra Parte ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A28.2; Yersiniose Extra intestinal;A28; Outras Doenças Bacterianas Zoonóticas Não Classificadas em Outra Parte ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A28.8; Outras Doenças Bacterianas Zoonóticas Especificadas Não Classificadas em Outra Parte;A28; Outras Doenças Bacterianas Zoonóticas Não Classificadas em Outra Parte ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A28.9; Doença Bacteriana Zoonótica Não Especificada;A28; Outras Doenças Bacterianas Zoonóticas Não Classificadas em Outra Parte ;Algumas doenças bacterianas zoonóticas;I. Algumas doenças infecciosas e parasitárias
A30.0; Hanseníase (lepra) Indeterminada;A30; Hanseníase (doença de Hansen) (lepra) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A30.1; Hanseníase (lepra) Tuberculóide;A30; Hanseníase (doença de Hansen) (lepra) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A30.2; Hanseníase (lepra) Tuberculóide Borderline;A30; Hanseníase (doença de Hansen) (lepra) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A30.3; Hanseníase (lepra) Dimorfa;A30; Hanseníase (doença de Hansen) (lepra) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A30.4; Hanseníase (lepra) Lepromatosa Borderline;A30; Hanseníase (doença de Hansen) (lepra) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A30.5; Hanseníase (lepra) Lepromatosa;A30; Hanseníase (doença de Hansen) (lepra) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A30.8; Outras Formas de Hanseníase (lepra);A30; Hanseníase (doença de Hansen) (lepra) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A30.9; Hanseníase (lepra) Não Especificada;A30; Hanseníase (doença de Hansen) (lepra) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A31.0; Infecção Pulmonar Micobacteriana;A31; Infecções Devidas a Outras Micobactérias ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A31.1; Infecção Cutânea Micobacteriana;A31; Infecções Devidas a Outras Micobactérias ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A31.8; Outras Infecções Micobacterianas;A31; Infecções Devidas a Outras Micobactérias ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A31.9; Infecção Micobacteriana Não Especificada;A31; Infecções Devidas a Outras Micobactérias ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A32.0; Listeriose Cutânea;A32; Listeriose (listeríase) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A32.1; Meningite e Meningoencefalite Por Listéria;A32; Listeriose (listeríase) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A32.7; Septicemia Listeriótica;A32; Listeriose (listeríase) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A32.8; Outras Formas de Listeriose;A32; Listeriose (listeríase) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A32.9; Listeriose Não Especificada;A32; Listeriose (listeríase) ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A36.0; Difteria Faríngea;A36; Difteria ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A36.1; Difteria Nasofaríngea;A36; Difteria ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A36.2; Difteria Laríngea;A36; Difteria ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A36.3; Difteria Cutânea;A36; Difteria ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A36.8; Outras Formas de Difteria;A36; Difteria ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A36.9; Difteria Não Especificada;A36; Difteria ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A37.0; Coqueluche Por Bordetella Pertussis;A37; Coqueluche ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A37.1; Coqueluche Por Bordetella Parapertussis;A37; Coqueluche ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A37.8; Coqueluche Por Outras Espécies da Bordetella;A37; Coqueluche ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A37.9; Coqueluche Não Especificada;A37; Coqueluche ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A39.0; Meningite Meningocócica;A39; Infecção Meningogócica ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A39.1; Síndrome de Waterhouse Friderichsen;A39; Infecção Meningogócica ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A39.2; Meningococcemia Aguda;A39; Infecção Meningogócica ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A39.3; Meningococcemia Crônica;A39; Infecção Meningogócica ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A39.4; Meningococcemia Não Especificada;A39; Infecção Meningogócica ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A39.5; Cardite Por Meningococos;A39; Infecção Meningogócica ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A39.8; Outras Infecções Por Meningococos;A39; Infecção Meningogócica ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
A39.9; Infecção Meningocócica Não Especificada;A39; Infecção Meningogócica ;Outras doenças bacterianas;I. Algumas doenças infecciosas e parasitárias
